,SubjectEntity,Relation,ObjectEntity
0,MROF-1,hasCrystalSystem,hexagonal
1,MOF-CJ3,hasCrystalSystem,tetragonal
2,"catena-(octakis(μ6-4,4',4''-s-Triazine-2,4,6-triyltribenzoato)-dodeca-aqua-dodeca-copper dimethylsulfoxide solvate hydrate)|PCN-6|Teaching Subset: MOFs",hasCrystalSystem,rhombohedral
3,Spirof-MOF,hasCrystalSystem,orthorhombic
4,NJU-Bai9,hasCrystalSystem,cubic
5,MOF-1,hasCrystalSystem,cubic
6,MOF-2,hasCrystalSystem,cubic
7,TCM-9-Ho,hasCrystalSystem,orthorhombic
8,"catena-[bis(μ4-(2RS,3RS)-2,3-Dihydroxybutanedioato-O,O',O'',O''',O'''',O''''')-(μ2-oxalato-O,O',O'',O''')-diaqua-di-lanthanum(iii) tetrahydrate]",hasCrystalSystem,monoclinic
9,"catena-[(μ8-4,4'-(Hexafluoroisopropylidene)diphthalato)-aqua-di-cadmium(ii) hemihydrate]",hasCrystalSystem,rhombohedral
10,"catena-[bis(μ4-Hydrogen zoledronato)-bis(μ2-1,2-bis(4-pyridyl)ethene)-tri-nickel unknown solvate tetrahydrate]",hasCrystalSystem,triclinic
11,SNU-50,hasCrystalSystem,rhombohedral
12,URMOF-4,hasCrystalSystem,trigonal
13,URMOF-1,hasCrystalSystem,tetragonal
14,URMOF-2,hasCrystalSystem,tetragonal
15,UMCM-151,hasCrystalSystem,orthorhombic
16,UMCM-152,hasCrystalSystem,rhombohedral
17,UMCM-153,hasCrystalSystem,orthorhombic
18,UMCM-154,hasCrystalSystem,monoclinic
19,NTU-5,hasCrystalSystem,monoclinic
20,NTU-6,hasCrystalSystem,monoclinic
21,NTU-7,hasCrystalSystem,monoclinic
22,NTU-8,hasCrystalSystem,monoclinic
23,NTU-9,hasCrystalSystem,monoclinic
24,NTU-10,hasCrystalSystem,monoclinic
25,BIF-80,hasCrystalSystem,triclinic
26,BUT-21,hasCrystalSystem,orthorhombic
27,DUT-63,hasCrystalSystem,cubic
28,DUT-64,hasCrystalSystem,cubic
29,DUT-77,hasCrystalSystem,cubic
30,JUC-199,hasCrystalSystem,monoclinic
31,MOF-76(Ho),hasCrystalSystem,tetragonal
32,MOF-76(Tm),hasCrystalSystem,tetragonal
33,FJI-H12,hasCrystalSystem,tetragonal
34,TMU-22,hasCrystalSystem,monoclinic
35,TMU-23,hasCrystalSystem,monoclinic
36,CALF-33-Et2H,hasCrystalSystem,triclinic
37,DUT-28(LT),hasCrystalSystem,monoclinic
38,ZJU-199,hasCrystalSystem,rhombohedral
39,"catena-((μ3-Pyridine-4-carboxylato-O,O',N)-(μ2-pyridine-4-carboxylato-O,N)-copper(ii) dihydrate clathrate)",hasCrystalSystem,monoclinic
40,"catena-[bis((μ-hydroxo)-(μ-4,4'-[1,3-phenylenebis(methylene)]bis(4H-1,2,4-triazole))-(μ-2,2'-(1,4-phenylene)diacetato)-di-copper) dichromate hexahydrate]",hasCrystalSystem,monoclinic
41,SZ-2,hasCrystalSystem,tetragonal
42,SZ-3,hasCrystalSystem,monoclinic
43,UTSA-222,hasCrystalSystem,rhombohedral
44,SNNU-61,hasCrystalSystem,cubic
45,NNU-36,hasCrystalSystem,monoclinic
46,"catena-[tris(μ-2,2'-[(1,2-dioxoethane-1,2-diyl)diazanidediyl]dipropanoato)--(μ-aqua)-bis(μ-hydroxy)-calcium(ii)-hexa-copper(ii) hydrate]",hasCrystalSystem,hexagonal
47,FJU-40-H,hasCrystalSystem,orthorhombic
48,UCY-11,hasCrystalSystem,monoclinic
49,UCY-10,hasCrystalSystem,monoclinic
50,UCY-8,hasCrystalSystem,monoclinic
51,UCY-6,hasCrystalSystem,monoclinic
52,UCY-5,hasCrystalSystem,monoclinic
53,UCY-4,hasCrystalSystem,monoclinic
54,FJI-H17,hasCrystalSystem,monoclinic
55,FJI-H18,hasCrystalSystem,triclinic
56,bio-MOF-12,hasCrystalSystem,tetragonal
57,UTSA-62,hasCrystalSystem,hexagonal
58,FJI-H15,hasCrystalSystem,cubic
59,MOZIF-1,hasCrystalSystem,tetragonal
60,UPC-35,hasCrystalSystem,tetragonal
61,UTSA-28-Cu,hasCrystalSystem,cubic
62,UTSA-28-Zn,hasCrystalSystem,cubic
63,Cu-PCN-224,hasCrystalSystem,cubic
64,MMPF-9,hasCrystalSystem,hexagonal
65,HV-MOF-1,hasCrystalSystem,triclinic
66,"catena-(tris(μ2-Quinato-O,O',O')-triaqua-aluminium(iii)-potassium hydroxide monohydrate)",hasCrystalSystem,cubic
67,FIR-54,hasCrystalSystem,orthorhombic
68,"catena-(Sesqui-cadmium(ii) tris(oxonium) octakis(μ6-5,5,10,10,15,15-hexaethyltruxene-2,7,12-tricarboxylato)-tris(μ4-oxo)-dodecakis(methanol)-dodeca-cadmium(ii) hexahydrate)",hasCrystalSystem,cubic
69,"catena-(Lead(ii) tetrakis(oxonium) octakis(μ6-5,5,10,10,15,15-hexaethyltruxene-2,7,12-tricarboxylato)-tris(μ4-oxo)-dodecaaqua-dodeca-lead(ii) hexahydrate)",hasCrystalSystem,cubic
70,"catena-(Sesqui-lead(ii) tris(oxonium) octakis(μ6-5,5,10,10,15,15-hexaethyltruxene-2,7,12-tricarboxylato)-tris(μ4-oxo)-dodeca-lead(ii) hexahydrate)",hasCrystalSystem,cubic
