,SubjectEntity,Relation,ObjectEntity
0,MOF-CJ3,hasMOFFamily,Zn-oxide/zinc oxide
1,Spirof-MOF,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
2,MOF-1,hasMOFFamily,Zn-oxide/zinc oxide
3,URMOF-1,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
4,URMOF-2,hasMOFFamily,Zn-oxide/zinc oxide
5,UMCM-151,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
6,UMCM-154,hasMOFFamily,Zn-oxide/zinc oxide
7,JUC-199,hasMOFFamily,Zn-oxide/zinc oxide
8,TMU-22,hasMOFFamily,Zn-oxide/zinc oxide
9,TMU-23,hasMOFFamily,Zn-oxide/zinc oxide
10,NNU-36,hasMOFFamily,Zn-oxide/zinc oxide
11,"catena-[tris(μ-2,2'-[(1,2-dioxoethane-1,2-diyl)diazanidediyl]dipropanoato)--(μ-aqua)-bis(μ-hydroxy)-calcium(ii)-hexa-copper(ii) hydrate]",hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
12,FJI-H15,hasMOFFamily,Zn-oxide/zinc oxide
13,UTSA-28-Zn,hasMOFFamily,Zn-oxide/zinc oxide
14,Cu-PCN-224,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
15,MMPF-9,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
16,CPO-54-Mn,hasMOFFamily,MOF-74/CPO-27
18,UTSA-38,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
19,FIR-1,hasMOFFamily,Zn-oxide/zinc oxide
20,DUT-42,hasMOFFamily,Zn-oxide/zinc oxide
21,she-MOF-1,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
22,she-MOF-2,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
23,she-MOF-3,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
24,FIR-4,hasMOFFamily,Zn-oxide/zinc oxide
25,NOF-1,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
26,PCM-4,hasMOFFamily,Zn-oxide/zinc oxide
27,LMOF-202,hasMOFFamily,Zn-oxide/zinc oxide
29,CPO-27-Cu,hasMOFFamily,MOF-74/CPO-27
32,CPO-27-Mn,hasMOFFamily,MOF-74/CPO-27
35,"catena-(bis(μ3-4,4'-Biphenyldicarboxylato-O,O',O'')-(μ2-1,2-bipyridylethene)-di-zinc(ii) bis(dimethylformamide) clathrate)|catena-(bis(μ3-Biphenyl-4,4'-dicarboxylato)-(μ2-1,2-bis(4-pyridyl)ethene)-di-zinc dimethylformamide clathrate)",hasMOFFamily,Zn-oxide/zinc oxide
36,FJI-8,hasMOFFamily,Zn-oxide/zinc oxide
37,MOF-818,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
38,SNU-151,hasMOFFamily,Zn-oxide/zinc oxide
39,SNU-150',hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
40,ZJU-70,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
41,HKUST-1,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
42,JUC-135,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
43,UWDM-1(22),hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
44,"catena-(diaqua-bis(μ6-s-heptazine-2,5,8-tris(4-benzoato))-tri-zinc N,N-dimethylformamide solvate pentahydrate)",hasMOFFamily,Zn-oxide/zinc oxide
45,Teaching Subset: MOFs,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
46,SNU-200,hasMOFFamily,Zn-oxide/zinc oxide
47,catena-[hexakis(dimethylammonium) tris(μ-meso-tetra(4-carboxylatophenyl)porphyrinato)-bis(aqua)-bis(μ-adenine)-bis(μ-oxido)-nona-zinc(ii) unknown solvate],hasMOFFamily,Zn-oxide/zinc oxide
48,DUT-13,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
49,ZJU-68,hasMOFFamily,Zn-oxide/zinc oxide
50,BUT-20,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
51,TMOF-2a,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
52,WUF-1,hasMOFFamily,"Zn-oxide/zinc oxide, IRMOF"
53,MFM-188a desolvated,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
54,MFM-188,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
56,FJI-C4,hasMOFFamily,Zn-oxide/zinc oxide
57,CMOF-2,hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
58,Mn-ZIF-8,hasMOFFamily,ZIF/Zeolitic Imidazolate Frameworks
59,CPM-31,hasMOFFamily,Zn-oxide/zinc oxide
60,TMU-42,hasMOFFamily,Zn-oxide/zinc oxide
61,PCN-777,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
62,HKUST-1 (as synthesised),hasMOFFamily,Cu-Cu paddleWheels/HKUST-1
63,493-MOF-BA,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
64,NENU-519,hasMOFFamily,Zn-oxide/zinc oxide
65,BUT-14,hasMOFFamily,Zr-oxide/zirconium oxide/UiO-66
